UserID,CourseID,EnrollmentCode,ActionDate,LastUpdated,CreditHours,ProgramCode
101,CS101,E,2025-08-15,2025-08-15T10:30:00Z,3,CS-BS
102,CS101,E,2025-08-16,2025-08-16T11:00:00Z,3,CS-BS
103,ENG202,E,2025-08-15,2025-08-15T14:00:00Z,3,ENG-BA
101,MATH300,E,2025-08-17,2025-08-17T09:45:00Z,4,CS-BS
104,CS101,D,2025-08-20,2025-08-20T13:20:00Z,3,CS-BS
102,ENG202,W,2025-08-22,2025-08-22T16:10:00Z,3,GEN-ED
103,MATH300,E,2025-08-18,2025-08-18T11:00:00Z,4,MATH-BS
104,PHY150,E,2025-08-19,2025-08-19T10:00:00Z,4,PHYS-BS
101,CHEM275,E,2025-09-09,2025-09-09T00:00:00Z,3,PSYC-BS
101,MATH281,E,2025-09-23,2025-09-23T00:00:00Z,3,HIST-MA
102,HIST379,E,2025-09-10,2025-09-10T00:00:00Z,2,BIO-MS
103,SOC302,E,2025-08-27,2025-08-27T00:00:00Z,4,ECON-MS
103,PHY542,E,2025-09-20,2025-09-20T00:00:00Z,4,ENG-BA
104,BIO323,E,2025-09-14,2025-09-14T00:00:00Z,3,CHEM-BS
104,BIO352,E,2025-09-12,2025-09-12T00:00:00Z,3,ENG-BA
104,CHEM207,E,2025-09-20,2025-09-20T00:00:00Z,3,MATH-BS
105,BIO590,E,2025-09-02,2025-09-02T00:00:00Z,3,BIO-BS
105,PSYC393,E,2025-09-22,2025-09-22T00:00:00Z,4,HIST-MA
106,PHY331,E,2025-09-04,2025-09-04T00:00:00Z,3,HIST-MA
106,HIST126,E,2025-09-05,2025-09-05T00:00:00Z,3,MATH-BS
106,FREN464,W,2025-09-22,2025-09-22T00:00:00Z,4,PSYC-MS
107,MUS192,W,2025-09-21,2025-09-21T00:00:00Z,3,ENG-BA
107,ECON339,E,2025-09-14,2025-09-14T00:00:00Z,3,ENG-BA
108,CHEM572,E,2025-09-07,2025-09-07T00:00:00Z,3,GEN-ED
